timestamp, world_x, world_y, world_z
1774528488.072010, 0.000000, 0.000000, 0.000000
1774528488.105079, -0.010205, 0.004053, 0.003124
1774528488.138511, -0.013080, 0.003805, 0.011079
1774528488.171830, 0.010474, 0.004933, -0.001528
1774528488.205056, 0.008121, 0.016750, 0.000046
1774528488.238281, 0.007658, 0.017321, 0.005885
1774528488.271487, 0.005095, 0.017641, 0.005482
1774528488.304795, -0.005852, 0.020595, 0.009296
1774528488.338133, 0.002357, 0.015478, 0.022892
1774528488.371401, -0.000572, 0.019456, 0.019097
1774528488.404819, 0.002373, 0.024845, 0.027263
1774528488.437912, 0.012794, 0.026908, 0.043919
1774528488.471272, 0.033524, 0.032076, 0.042825
1774528488.504541, 0.030459, 0.034168, 0.038182
1774528488.538085, 0.024576, 0.033414, 0.019533
1774528488.571331, 0.026089, 0.032963, 0.018969
1774528488.604594, 0.018702, 0.030359, 0.007509
1774528488.637949, 0.009224, 0.041020, -0.014597
1774528488.671315, 0.005144, 0.035576, -0.033940
1774528488.704587, -0.019575, 0.025096, -0.060005
1774528488.738004, -0.024195, 0.032386, -0.047281
1774528488.771144, -0.027360, 0.033104, -0.060446
1774528488.804513, -0.028206, 0.033574, -0.055300
1774528488.837780, -0.028032, 0.036149, -0.062111
1774528488.870927, -0.034335, 0.035036, -0.063367
1774528488.904191, -0.033813, 0.036336, -0.069627
1774528488.937515, -0.039647, 0.034014, -0.051900
1774528488.970901, -0.036615, 0.030700, -0.043173
1774528489.004158, -0.038379, 0.031502, -0.038153
1774528489.037652, -0.031225, 0.030949, -0.030893
1774528489.071018, -0.010702, 0.022603, -0.018070
1774528489.104187, -0.001701, 0.022734, -0.032421
1774528489.137564, 0.006090, 0.024152, -0.053458
1774528489.170634, 0.006065, 0.020141, -0.051950
1774528489.203915, 0.009074, 0.024544, -0.047418
1774528489.237102, -0.003228, 0.028725, -0.049987
1774528489.270405, -0.018714, 0.033322, -0.024704
1774528489.303726, -0.026517, 0.028286, -0.039453
1774528489.337052, -0.035264, 0.023934, -0.054597
1774528489.370403, -0.034837, 0.021750, -0.051479
1774528489.403629, -0.012100, 0.020107, -0.055673
1774528489.436952, 0.017479, 0.012673, -0.027858
1774528489.470453, 0.002357, 0.007665, -0.021831
1774528489.503662, 0.015697, 0.018178, -0.028116
1774528489.537026, 0.005765, 0.008190, -0.022715
1774528489.570407, 0.011539, 0.010808, -0.008802
1774528489.603588, 0.002590, 0.010739, -0.038875
1774528489.637131, -0.006985, 0.016300, -0.054926
1774528489.670115, -0.015179, 0.015836, -0.052070
1774528489.703345, -0.012625, 0.011619, -0.050064
1774528489.736717, -0.020487, 0.009343, -0.039592
1774528489.769976, -0.037135, 0.008469, -0.043246
1774528489.803370, -0.039168, 0.011965, -0.025983
1774528489.836684, -0.039735, 0.012664, -0.028162
1774528489.869791, -0.036272, 0.009706, -0.011044
1774528489.903126, -0.043855, 0.018049, -0.017306
1774528489.936466, -0.045385, 0.017047, -0.023157
1774528489.969622, -0.046681, 0.017358, -0.017705
1774528490.002915, -0.036300, 0.007513, -0.004870
1774528490.036503, -0.029717, 0.013652, -0.004120
1774528490.069345, -0.017460, 0.022415, -0.000909
1774528490.102763, -0.019500, 0.030241, 0.001996
1774528490.135997, -0.010484, 0.024397, -0.011339
1774528490.169338, -0.008180, 0.026687, 0.000442
1774528490.202721, -0.015535, 0.015984, -0.013947
1774528490.236103, 0.002729, 0.027476, -0.002872
1774528490.269320, 0.016076, 0.036967, 0.012937
1774528490.302672, 0.003685, 0.029470, -0.001294
1774528490.335896, 0.007583, 0.022124, -0.010752
1774528490.369169, 0.008641, 0.025449, 0.009763
1774528490.402570, 0.007622, 0.019923, 0.012410
1774528490.435957, 0.002786, 0.016828, 0.008723
1774528490.468986, -0.006146, 0.011445, -0.002704
1774528490.502195, -0.033911, 0.004858, -0.013555
1774528490.535548, -0.033686, 0.004880, -0.025753
1774528490.568893, -0.048427, 0.003361, -0.028098
1774528490.602101, -0.060362, 0.011457, -0.030206
1774528490.635436, -0.052421, 0.020790, -0.029805
1774528490.668765, -0.056237, 0.016427, -0.024635
1774528490.702164, -0.080738, 0.005555, -0.040088
1774528490.735331, -0.084265, 0.017183, -0.032289
1774528490.768634, -0.083010, 0.008725, -0.048302
1774528490.802008, -0.068020, 0.001379, -0.034496
1774528490.835313, -0.054928, -0.000498, -0.036713
1774528490.868641, -0.018893, 0.005044, -0.031355
1774528490.901910, -0.014322, 0.010077, -0.028560
1774528490.935147, -0.031526, 0.008353, -0.043854
1774528490.968360, -0.016701, 0.008933, -0.016434
1774528491.001713, -0.026579, 0.013100, -0.025918
1774528491.034833, -0.018795, 0.020107, -0.023450
1774528491.068505, -0.004585, 0.004780, -0.040495
1774528491.101654, 0.001061, 0.010867, -0.029471
1774528491.134823, 0.004141, 0.007724, -0.024492
1774528491.168259, -0.009950, 0.003632, -0.016741
1774528491.201486, 0.004729, 0.013746, -0.004036
1774528491.235027, 0.002220, 0.002996, -0.017886
1774528491.268358, 0.014537, 0.008838, -0.012805
1774528491.301672, 0.002922, 0.003963, -0.006487
1774528491.334822, 0.005013, 0.006197, -0.016584
1774528491.368066, -0.009340, 0.013467, -0.021371
1774528491.401347, -0.007384, 0.010747, -0.012427
1774528491.434484, -0.006373, 0.010629, -0.021360
1774528491.467718, 0.011049, 0.012328, -0.019875
1774528491.501107, 0.006714, 0.013858, -0.015780
1774528491.534485, 0.001781, 0.019907, -0.007102
1774528491.567694, 0.000334, 0.018447, -0.001925
1774528491.601008, 0.011872, 0.016036, 0.016365
1774528491.634199, 0.018361, 0.022181, 0.032441
1774528491.667513, 0.003976, 0.021478, 0.039968
1774528491.700678, 0.022577, 0.030496, 0.059897
1774528491.733939, 0.030613, 0.046940, 0.082259
1774528491.767449, 0.033205, 0.059847, 0.099439
1774528491.800653, 0.024520, 0.058541, 0.093019
1774528491.833962, 0.032987, 0.076233, 0.101521
1774528491.867167, 0.043068, 0.096515, 0.123374
1774528491.900452, 0.035525, 0.102909, 0.120405
1774528491.933687, 0.034616, 0.114828, 0.108508
1774528491.967105, 0.036549, 0.132840, 0.114896
1774528492.000441, 0.033981, 0.149637, 0.090289
1774528492.033536, 0.023401, 0.165231, 0.095542
1774528492.066789, 0.027110, 0.186859, 0.095457
1774528492.100127, 0.020681, 0.209422, 0.084545
1774528492.133465, 0.018053, 0.242776, 0.102815
1774528492.166786, 0.008598, 0.266130, 0.133467
1774528492.199888, 0.004404, 0.300415, 0.148523
1774528492.233256, -0.008013, 0.340808, 0.151862
1774528492.266819, -0.019434, 0.377963, 0.166960
1774528492.299791, -0.034251, 0.420358, 0.188664
1774528492.333034, -0.051461, 0.457584, 0.189470
1774528492.366465, -0.056485, 0.498755, 0.207949
1774528492.399638, -0.048325, 0.543386, 0.247955
1774528492.432904, -0.061514, 0.591510, 0.254346
1774528492.466146, -0.068788, 0.636513, 0.290712
1774528492.499378, -0.078277, 0.700118, 0.311035
1774528492.532783, -0.064439, 0.761041, 0.342509
1774528492.566217, -0.071720, 0.820757, 0.374365
1774528492.599424, -0.068633, 0.880282, 0.388394
1774528492.632666, -0.063521, 0.947901, 0.421890
1774528492.666304, -0.048194, 1.021494, 0.445313
1774528492.699448, -0.037025, 1.100175, 0.497866
1774528492.733045, -0.025417, 1.165768, 0.534324
1774528492.766734, -0.006721, 1.248044, 0.559095
1774528492.799578, 0.014293, 1.329567, 0.587400
1774528492.832684, 0.048223, 1.408527, 0.612265
1774528492.866227, 0.071468, 1.484593, 0.646560
1774528492.899259, 0.086664, 1.563839, 0.673036
1774528492.932711, 0.103728, 1.637169, 0.712320
1774528492.965869, 0.132472, 1.728059, 0.755370
1774528492.999136, 0.172458, 1.814270, 0.799441
1774528493.032443, 0.216017, 1.902321, 0.835986
1774528493.065625, 0.245356, 1.989634, 0.872322
1774528493.098823, 0.280495, 2.077307, 0.902367
1774528493.132007, 0.318057, 2.162756, 0.941708
1774528493.165458, 0.374111, 2.247400, 0.977227
1774528493.199504, 0.433867, 2.325458, 1.029050
1774528493.232594, 0.488211, 2.400546, 1.057011
1774528493.265767, 0.536888, 2.480938, 1.097569
1774528493.299042, 0.595984, 2.559738, 1.129007
1774528493.332588, 0.654790, 2.641306, 1.144904
1774528493.366037, 0.697229, 2.715522, 1.166720
1774528493.399144, 0.762611, 2.795070, 1.184704
1774528493.432344, 0.836095, 2.865326, 1.211296
1774528493.465546, 0.895176, 2.941475, 1.259180
1774528493.498875, 0.952948, 3.007235, 1.270677
1774528493.532022, 1.042978, 3.085597, 1.327556
1774528493.565246, 1.105813, 3.155891, 1.356975
1774528493.598586, 1.187212, 3.227929, 1.400660
1774528493.632022, 1.274658, 3.301122, 1.447508
1774528493.665436, 1.357737, 3.372669, 1.483223
1774528493.698646, 1.462697, 3.431270, 1.530093
1774528493.731881, 1.540644, 3.495007, 1.545643
1774528493.765034, 1.621514, 3.547626, 1.564425
1774528493.798497, 1.693500, 3.607004, 1.600696
1774528493.831656, 1.775919, 3.661316, 1.635021
1774528493.864966, 1.846002, 3.709958, 1.658198
1774528493.898480, 1.934152, 3.772265, 1.680600
1774528493.931607, 2.016483, 3.818034, 1.701053
1774528493.964936, 2.074119, 3.862517, 1.715830
1774528493.998299, 2.138681, 3.917159, 1.729799
1774528494.031599, 2.216252, 3.951726, 1.744466
