time,s_x,s_y,s_z,t_x,t_y,t_z,dist
1783836975.0626,-11.1405,37.9292,1.4723,9.6492,17.7907,0.1136,28.9761
1783836975.0926,-11.1987,38.1901,1.3262,9.7522,17.8747,0.1249,29.2078
1783836975.1226,-11.2713,38.4556,1.1648,9.8648,17.9685,0.1498,29.4532
1783836975.1526,-11.3418,38.7115,1.0438,9.9673,18.0585,0.1588,29.6886
1783836975.1826,-11.4188,38.9594,0.8883,10.0489,18.1411,0.1528,29.9133
1783836975.2126,-11.5090,39.1995,0.7163,10.1299,18.2339,0.1403,30.1351
1783836975.2426,-11.6049,39.4404,0.5533,10.2270,18.3213,0.1092,30.3783
1783836975.2726,-11.6971,39.6642,0.3783,10.3160,18.4037,0.0860,30.6051
1783836975.3026,-11.7888,39.8921,0.2186,10.4095,18.4647,0.0723,30.8532
1783836975.3326,-11.8856,40.0852,0.0982,10.4717,18.5318,0.0655,31.0548
1783836975.3626,-12.0007,40.2268,0.1142,10.5238,18.5892,0.0629,31.2337
1783836975.3926,-12.0007,40.2268,0.1142,10.5238,18.5892,0.0629,31.2337
1783836975.4226,-12.1117,40.3702,0.1596,10.5550,18.6280,0.0956,31.4087
1783836975.4526,-12.2294,40.5039,0.1937,10.5906,18.6707,0.1393,31.5823
1783836975.4827,-12.3433,40.6512,0.2047,10.6204,18.7153,0.1492,31.7572
1783836975.5126,-12.4607,40.8079,0.2213,10.6610,18.7649,0.1518,31.9454
1783836975.5426,-12.5617,40.9735,0.2127,10.6901,18.8015,0.1488,32.1286
1783836975.5726,-12.6888,41.1433,0.2022,10.7175,18.8348,0.1259,32.3346
1783836975.6027,-12.8098,41.3205,0.1710,10.7339,18.8758,0.0938,32.5281
1783836975.6326,-12.9260,41.4908,0.2202,10.7705,18.9109,0.0614,32.7323
1783836975.6626,-13.0272,41.6621,0.2472,10.7985,18.9510,0.0172,32.9167
1783836975.6926,-13.1274,41.8424,0.2612,10.8382,18.9926,-0.0532,33.1144
1783836975.7226,-13.1274,41.8424,0.2612,10.8382,18.9926,-0.0532,33.1144
1783836975.7526,-13.2363,42.0460,0.2637,10.8415,19.0329,-0.0951,33.3088
1783836975.7827,-13.3224,42.2506,0.2633,10.8321,19.0552,-0.1198,33.4905
1783836975.8126,-13.4249,42.4594,0.2534,10.8247,19.0691,-0.1491,33.6944
1783836975.8427,-13.5148,42.6787,0.2243,10.7965,19.0743,-0.1652,33.8874
1783836975.8727,-13.5778,42.8965,0.1939,10.7603,19.0560,-0.1560,34.0710
1783836975.9027,-13.6378,43.1253,0.1520,10.6999,19.0448,-0.1511,34.2387
1783836975.9327,-13.6950,43.3479,0.1276,10.6730,19.0476,-0.1520,34.4148
1783836975.9627,-13.7604,43.5773,0.0938,10.6352,19.0434,-0.1678,34.5995
1783836975.9926,-13.8060,43.8009,0.0368,10.5931,19.0339,-0.1646,34.7672
1783836976.0226,-13.8322,43.9827,0.0570,10.5548,19.0234,-0.1341,34.8960
1783836976.0526,-13.8322,43.9827,0.0570,10.5548,19.0234,-0.1341,34.8960
1783836976.0826,-13.8626,44.1685,0.0628,10.5090,19.0049,-0.1468,35.0318
1783836976.1127,-13.8859,44.3574,0.0755,10.4871,18.9904,-0.1228,35.1791
1783836976.1427,-13.9177,44.5381,0.0751,10.4417,18.9793,-0.1365,35.3083
1783836976.1727,-13.9361,44.7171,0.0521,10.3966,18.9740,-0.1305,35.4235
1783836976.2026,-13.9699,44.8864,0.0657,10.3711,18.9672,-0.1196,35.5573
1783836976.2327,-13.9991,45.0598,0.0442,10.3440,18.9607,-0.1239,35.6900
1783836976.2626,-14.0002,45.1713,0.1076,10.3303,18.9509,-0.1100,35.7705
1783836976.2927,-14.0217,45.2945,0.1616,10.2930,18.9380,-0.1053,35.8600
1783836976.3226,-14.0345,45.4226,0.2183,10.2839,18.9153,-0.1279,35.9742
1783836976.3526,-14.0627,45.5447,0.2785,10.2682,18.9021,-0.1234,36.0830
1783836976.3827,-14.0627,45.5447,0.2785,10.2682,18.9021,-0.1234,36.0830
1783836976.4127,-14.0894,45.6640,0.3355,10.2661,18.9025,-0.1367,36.1882
1783836976.4427,-14.0936,45.7840,0.3699,10.2748,18.8948,-0.1361,36.2920
1783836976.4727,-14.1101,45.9117,0.3989,10.3017,18.8867,-0.1283,36.4220
1783836976.5027,-14.1145,46.0291,0.4240,10.3244,18.8805,-0.1340,36.5324
1783836976.5327,-14.1252,46.1620,0.3986,10.3518,18.8887,-0.1603,36.6506
1783836976.5627,-14.1452,46.2851,0.3878,10.3644,18.8759,-0.1635,36.7735
1783836976.5927,-14.1670,46.4204,0.3788,10.3844,18.8543,-0.1442,36.9179
1783836976.6227,-14.1800,46.5438,0.3402,10.3933,18.8407,-0.1219,37.0341
1783836976.6527,-14.1937,46.6691,0.2939,10.4115,18.8259,-0.1149,37.1594
1783836976.6827,-14.1868,46.7974,0.2505,10.4224,18.7902,-0.1142,37.2847
1783836976.7127,-14.1868,46.7974,0.2505,10.4224,18.7902,-0.1142,37.2847
1783836976.7427,-14.1988,46.9218,0.1759,10.4290,18.7536,-0.1100,37.4173
1783836976.7729,-14.2254,47.0409,0.1281,10.4213,18.7193,-0.1233,37.5451
1783836976.8027,-14.2267,47.1104,0.1313,10.4191,18.6884,-0.1064,37.6203
1783836976.8327,-14.2256,47.1848,0.1311,10.4201,18.6547,-0.0990,37.7019
1783836976.8627,-14.2291,47.2614,0.1296,10.4191,18.6243,-0.0979,37.7845
1783836976.8927,-14.2503,47.3535,0.1903,10.4263,18.5949,-0.1031,37.8956
1783836976.9227,-14.2852,47.4478,0.2105,10.4360,18.5707,-0.1068,38.0148
1783836976.9527,-14.3054,47.5396,0.2481,10.4468,18.5311,-0.1141,38.1352
1783836976.9827,-14.3370,47.6341,0.2619,10.4586,18.5006,-0.0961,38.2585
1783836977.0127,-14.3655,47.7181,0.2669,10.4636,18.4843,-0.0852,38.3565
1783836977.0427,-14.3655,47.7181,0.2669,10.4636,18.4843,-0.0852,38.3565
1783836977.0727,-14.3810,47.8157,0.2782,10.4625,18.4699,-0.1090,38.4515
1783836977.1027,-14.4128,47.9075,0.2577,10.4628,18.4450,-0.1026,38.5611
1783836977.1327,-14.4450,48.0072,0.2465,10.4789,18.4318,-0.0962,38.6785
1783836977.1627,-14.4724,48.0917,0.2105,10.4974,18.4293,-0.1121,38.7744
1783836977.1927,-14.5128,48.1707,0.1634,10.5104,18.4234,-0.1101,38.8734
1783836977.2227,-14.5387,48.2588,0.1524,10.5307,18.4264,-0.1165,38.9682
1783836977.2527,-14.5342,48.3944,0.2260,10.5364,18.4314,-0.1137,39.0696
1783836977.2827,-14.5390,48.5260,0.2567,10.5575,18.4423,-0.1157,39.1791
1783836977.3127,-14.5290,48.6490,0.3020,10.6025,18.4441,-0.1380,39.2954
1783836977.3427,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836977.3728,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836977.4027,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836977.4328,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836977.4628,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836977.4928,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836977.5227,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836977.5528,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836977.5828,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836977.6127,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836977.6427,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836977.6727,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836977.7027,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836977.7327,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836977.7627,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836977.7927,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836977.8227,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836977.8527,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836977.8827,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836977.9127,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836977.9427,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836977.9727,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836978.0027,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836978.0327,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836978.0627,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836978.0927,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836978.1227,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836978.1527,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836978.1827,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836978.2127,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836978.2427,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836978.2727,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836978.3027,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836978.3327,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836978.3627,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
1783836978.3928,-14.5383,48.7826,0.3134,10.6363,18.4472,-0.1428,39.4234
